word,score,polarity,abs_score
2气斗狠,-1.0,negative,1.0
一丘之貉,-0.5555555555555556,negative,0.5555555555555556
一个心眼,-0.3333333333333333,negative,0.3333333333333333
一之谓甚,-0.5555555555555556,negative,0.5555555555555556
一事无成,-0.5555555555555556,negative,0.5555555555555556
一人得道，鸡犬升天,-0.5555555555555556,negative,0.5555555555555556
一偏,-0.3333333333333333,negative,0.3333333333333333
一傅众修,-0.3333333333333333,negative,0.3333333333333333
一刀两断,-0.5555555555555556,negative,0.5555555555555556
一刀两段,-0.5555555555555556,negative,0.5555555555555556
一则以喜，一则以惧,-0.7777777777777778,negative,0.7777777777777778
一口吃个胖子,-0.7777777777777778,negative,0.7777777777777778
一口吸尽西江水,-0.5555555555555556,negative,0.5555555555555556
一叶蔽目,-0.5555555555555556,negative,0.5555555555555556
一叶蔽目，不见泰山,-0.7777777777777778,negative,0.7777777777777778
一味,-0.5555555555555556,negative,0.5555555555555556
一哄而散,-0.3333333333333333,negative,0.3333333333333333
一哄而起,-0.3333333333333333,negative,0.3333333333333333
一唱一和,-0.3333333333333333,negative,0.3333333333333333
一国三公,-0.7777777777777778,negative,0.7777777777777778
一塌糊涂,-1.0,negative,1.0
一塌胡涂,-0.7777777777777778,negative,0.7777777777777778
一失足成千古恨,-0.5555555555555556,negative,0.5555555555555556
一头儿沉,-0.3333333333333333,negative,0.3333333333333333
一孔之见,-0.5555555555555556,negative,0.5555555555555556
一己之私,-0.7777777777777778,negative,0.7777777777777778
一帮,-0.3333333333333333,negative,0.3333333333333333
一年被蛇咬，三年怕草索,-0.8888888888888888,negative,0.8888888888888888
一座皆惊,-1.0,negative,1.0
一念之差,-0.3333333333333333,negative,0.3333333333333333
一意孤行,-0.7777777777777778,negative,0.7777777777777778
一成不变,-0.3333333333333333,negative,0.3333333333333333
一手包办,-0.5555555555555556,negative,0.5555555555555556
一手遮天,-0.5555555555555556,negative,0.5555555555555556
一把死拿,-0.5555555555555556,negative,0.5555555555555556
一推六二五,-0.5555555555555556,negative,0.5555555555555556
一掷千金,-1.0,negative,1.0
一掷百万,-1.0,negative,1.0
一文不值,-0.7777777777777778,negative,0.7777777777777778
一文如命,-0.7777777777777778,negative,0.7777777777777778
一无可取,-0.7777777777777778,negative,0.7777777777777778
一无所成,-0.7777777777777778,negative,0.7777777777777778
一无所能,-0.7777777777777778,negative,0.7777777777777778
一无所长,-1.0,negative,1.0
一无是处,-1.0,negative,1.0
一无长物,-0.5555555555555556,negative,0.5555555555555556
一暴十寒,-0.5555555555555556,negative,0.5555555555555556
一曝十寒,-0.5555555555555556,negative,0.5555555555555556
一朝之忿,-1.0,negative,1.0
一朝天子一朝臣,-0.7777777777777778,negative,0.7777777777777778
一朝权在手，便把令来行,-0.5555555555555556,negative,0.5555555555555556
一棍子打死,-0.7777777777777778,negative,0.7777777777777778
一步一鬼,-0.7777777777777778,negative,0.7777777777777778
一毛不拔,-0.7777777777777778,negative,0.7777777777777778
一波三折,-1.0,negative,1.0
一浆十饼,-0.3333333333333333,negative,0.3333333333333333
一潭死水,-0.7777777777777778,negative,0.7777777777777778
一物不知,-0.3333333333333333,negative,0.3333333333333333
一犬吠形，百犬吠声,-0.7777777777777778,negative,0.7777777777777778
一盘散沙,-0.5555555555555556,negative,0.5555555555555556
一着不慎，满盘皆输,-0.3333333333333333,negative,0.3333333333333333
一知半解,-0.5555555555555556,negative,0.5555555555555556
一知半解　,-0.5555555555555556,negative,0.5555555555555556
一窍不通,-0.5555555555555556,negative,0.5555555555555556
一窝蜂,-0.3333333333333333,negative,0.3333333333333333
一簧两舌,-0.5555555555555556,negative,0.5555555555555556
一纸空文,-0.5555555555555556,negative,0.5555555555555556
一脸横肉,-1.0,negative,1.0
一草一木,-0.5555555555555556,negative,0.5555555555555556
一蛇两头,-1.0,negative,1.0
一触即溃,-1.0,negative,1.0
一言堂,-0.5555555555555556,negative,0.5555555555555556
一误再误,-0.7777777777777778,negative,0.7777777777777778
一败如水,-0.7777777777777778,negative,0.7777777777777778
一败涂地,-0.7777777777777778,negative,0.7777777777777778
一蹶不振,-0.7777777777777778,negative,0.7777777777777778
一钱不值,-0.7777777777777778,negative,0.7777777777777778
一钱如命,-1.0,negative,1.0
一锹掘个井,-0.7777777777777778,negative,0.7777777777777778
一问三不知,-0.3333333333333333,negative,0.3333333333333333
一隅,-0.3333333333333333,negative,0.3333333333333333
一隅之见,-0.5555555555555556,negative,0.5555555555555556
一面之词,-0.1111111111111111,negative,0.1111111111111111
一鼻孔出气,-0.5555555555555556,negative,0.5555555555555556
七手八脚,-0.3333333333333333,negative,0.3333333333333333
七拼八凑,-0.3333333333333333,negative,0.3333333333333333
